TransactionID,ProductID,Quantity
1,3,2
1,12,1
1,45,1
2,7,1
3,15,4
3,2,1
3,88,2
3,19,1
3,4,3
4,1,1
5,22,2
5,10,1
6,5,3
6,14,2
7,33,1
8,2,1
8,11,2
8,94,1
9,6,1
10,8,2
10,12,1
11,4,1
12,19,3
12,23,1
12,50,2
13,31,1
14,9,2
14,18,1
15,15,1
16,2,3
16,41,1
17,7,2
18,3,1
18,8,1
18,12,2
18,29,1
19,1,1
20,10,2
20,25,3
21,11,1
22,4,2
22,14,1
23,16,1
24,5,2
24,30,1
24,42,4
25,8,1
26,20,1
26,21,2
27,3,1
28,1,3
28,7,1
28,12,2
29,15,1
30,2,2
30,9,1
31,11,1
32,4,3
32,18,1
33,6,1
33,22,2
33,35,1
33,48,1
34,13,2
35,5,1
36,1,2
36,10,1
37,2,1
38,8,2
38,19,1
39,14,3
40,3,1
40,16,2
40,27,1
40,32,1
40,45,2
40,50,1
40,61,3
40,75,1
40,82,2
41,7,1
42,12,2
43,1,1
43,20,2
44,9,1
45,4,2
45,11,1
46,15,3
47,2,1
48,6,2
48,13,1
48,25,1
49,10,1
50,3,2
50,8,1
51,5,1
52,1,2
52,17,1
53,19,3
54,7,1
54,12,2
54,33,1
55,2,1
56,11,2
57,4,1
57,15,1
58,9,3
58,21,1
59,6,1
60,8,2
60,10,1
60,14,2
61,1,1
62,3,2
62,18,1
63,16,1
64,5,3
64,22,1
65,2,1
66,7,2
66,12,1
67,11,1
68,4,2
68,9,1
68,26,3
69,15,1
70,1,2
70,8,1
71,3,1
72,10,3
72,13,1
73,6,1
74,2,2
74,17,1
74,29,2
75,5,1
76,14,2
77,7,1
77,11,1
78,1,3
78,19,1
79,8,2
80,4,1
80,12,2
80,31,1
80,40,2
80,55,1
80,63,3
80,78,1
80,89,2
81,3,1
82,9,2
83,15,1
83,20,1
84,2,3
85,6,1
86,10,2
86,16,1
87,5,1
88,1,2
88,7,1
89,11,1
90,4,3
90,13,1
90,22,2
91,8,1
92,3,2
92,12,1
93,14,1
94,2,2
94,9,1
95,17,3
96,6,1
96,15,2
97,1,1
98,10,2
98,25,1
99,5,1
100,7,2
100,11,1
100,18,2
101,3,1
102,8,3
103,2,1
103,12,2
104,4,1
105,9,2
105,14,1
106,1,1
107,6,3
107,19,1
108,11,2
109,5,1
109,10,1
109,21,2
110,15,1
111,7,2
112,2,1
112,13,2
113,3,1
114,8,2
114,16,1
115,1,3
116,4,1
116,12,2
116,27,1
117,10,1
118,6,2
119,9,1
119,17,2
120,5,1
120,11,1
120,20,3
120,34,1
120,42,2
120,58,1
120,66,2
120,71,1
120,85,3
120,90,1
121,2,2
122,7,1
123,15,1
123,18,2
124,3,1
125,8,3
125,14,1
126,1,2
127,10,1
128,4,2
128,11,1
128,23,2
129,6,1
130,12,2
131,5,1
131,9,2
132,2,1
133,7,3
133,16,1
134,15,2
135,1,1
135,8,2
136,3,1
137,11,2
137,19,1
138,4,1
139,10,3
139,13,1
140,6,1
140,14,2
141,2,1
142,5,2
142,12,1
143,8,1
144,7,3
144,17,1
144,28,2
145,1,1
146,9,2
147,3,1
147,15,2
148,11,1
149,4,2
149,10,1
150,6,1
150,18,3
151,2,2
152,12,1
152,21,2
153,5,1
154,8,2
154,13,1
155,7,1
156,1,3
156,14,1
157,10,1
158,3,2
158,9,1
158,24,2
159,15,1
160,2,1
160,6,2
160,11,1
160,20,2
160,33,1
160,49,3
160,62,1
160,77,2
160,84,1
161,4,2
162,8,1
163,5,3
163,16,1
164,1,1
165,7,2
165,12,1
166,10,1
167,3,2
167,17,1
168,9,1
169,11,3
169,15,1
170,2,1
171,6,2
171,13,1
172,4,1
173,8,2
173,18,1
174,1,1
174,5,2
174,22,1
175,12,3
176,7,1
177,10,2
177,14,1
178,3,1
179,9,2
179,19,1
180,15,1
181,2,3
181,8,1
182,6,1
183,11,2
183,16,1
184,4,1
185,1,2
185,5,1
185,25,3
186,7,1
187,10,2
188,3,1
188,12,2
189,8,1
190,2,2
190,9,1
190,17,2
191,14,1
192,6,3
193,1,1
193,11,2
194,5,1
195,15,2
195,20,1
196,4,1
197,8,2
197,13,1
198,3,1
199,7,2
199,10,1
200,2,1
200,9,3
200,12,1
200,29,2
200,38,1
200,51,2
200,67,1
200,80,3
200,92,1
200,98,2
201,1,2
202,6,1
203,11,3
203,18,1
204,5,1
205,14,2
205,21,1
206,8,1
207,4,2
207,10,1
208,3,1
209,7,3
209,15,1
210,2,1
211,12,2
211,16,1
212,9,1
213,1,2
213,6,1
214,11,1
215,5,3
215,13,1
216,8,1
217,10,2
217,17,1
218,3,1
219,2,2
219,14,1
219,26,2
220,7,1
221,4,3
222,15,1
222,19,2
223,1,1
224,9,2
224,12,1
225,6,1
226,11,2
226,22,1
227,3,1
228,8,3
228,10,1
229,5,1
230,2,2
230,7,1
230,18,2
231,14,1
232,1,2
232,13,1
233,4,1
234,10,3
234,16,1
235,9,1
236,6,2
236,15,1
237,3,1
238,12,2
238,20,1
239,8,1
240,2,3
240,5,1
240,11,2
240,24,1
240,36,2
240,44,1
240,59,3
240,70,1
240,83,2
240,95,1
241,7,1
242,1,2
243,14,1
243,17,2
244,4,1
245,10,2
245,19,1
246,3,1
247,8,3
247,12,1
248,6,1
249,15,2
249,21,1
250,2,1
251,9,2
251,13,1
252,5,1
253,11,3
253,18,1
254,7,1
255,1,2
255,10,1
256,4,1
257,3,2
257,16,1
257,28,2
258,14,1
259,8,2
260,2,1
260,6,3
261,12,1
262,5,2
262,15,1
263,9,1
264,1,3
264,7,1
265,11,1
266,4,2
266,10,1
267,3,1
268,8,2
268,17,1
269,13,1
270,2,2
270,14,1
270,23,2
271,6,1
272,1,3
272,12,1
273,5,1
274,10,2
274,19,1
275,7,1
276,3,2
276,9,1
277,15,1
278,8,3
278,11,1
279,4,1
280,2,2
280,16,1
280,27,2
280,39,1
280,47,3
280,53,1
280,68,2
280,74,1
280,87,2
281,6,1
282,1,2
283,10,1
283,14,2
284,5,1
285,12,3
285,18,1
286,3,1
287,7,2
287,13,1
288,9,1
289,2,2
289,8,1
290,15,1
291,4,3
291,11,1
292,6,1
293,1,2
293,17,1
294,10,1
295,5,2
295,20,1
296,3,1
297,8,2
297,12,1
297,31,2
298,14,1
299,2,3
299,7,1
300,9,1
301,1,2
301,6,1
302,11,1
303,4,2
303,15,1
304,8,1
305,3,3
305,10,1
306,13,1
307,2,2
307,5,1
308,12,1
309,7,2
309,18,1
310,9,1
311,1,3
311,14,1
312,6,1
313,10,2
313,16,1
314,4,1
315,3,2
315,8,1
315,22,2
316,15,1
317,2,3
317,11,1
318,5,1
319,7,2
319,12,1
320,1,1
320,9,2
320,17,1
320,25,2
320,37,1
320,46,3
320,54,1
320,69,2
320,79,1
320,91,2
321,4,1
322,10,2
323,6,1
323,13,2
324,3,1
325,8,3
325,19,1
326,2,1
327,14,2
327,21,1
328,5,1
329,1,2
329,11,1
330,7,1
331,12,3
331,15,1
332,9,1
333,4,2
333,8,1
334,3,1
335,10,2
335,18,1
336,6,1
337,2,3
337,16,1
338,5,1
339,1,2
339,7,1
339,26,2
340,11,1
341,13,2
342,4,1
342,9,2
343,8,1
344,3,3
344,14,1
345,10,1
346,2,2
346,12,1
347,6,1
348,5,2
348,15,1
349,7,1
350,1,3
350,17,1
351,9,1
352,4,2
352,11,1
353,8,1
354,3,2
354,10,1
355,13,1
356,2,3
356,6,1
356,29,2
357,14,1
358,1,2
358,5,1
359,12,1
360,7,2
360,18,1
360,28,2
360,35,1
360,43,3
360,57,1
360,71,2
360,81,1
360,93,2
360,99,1
361,9,1
362,3,2
363,11,1
363,15,2
364,4,1
365,8,3
365,10,1
366,2,1
367,6,2
367,16,1
368,5,1
369,1,3
369,13,1
370,7,1
371,12,2
371,19,1
372,9,1
373,4,2
373,14,1
374,3,1
375,10,3
375,17,1
376,8,1
377,2,2
377,11,1
377,24,2
378,5,1
379,6,3
379,15,1
380,1,1
381,7,2
381,12,1
382,9,1
383,3,3
383,8,1
384,13,1
385,4,2
385,10,1
386,2,1
387,11,3
387,18,1
388,6,1
389,5,2
389,14,1
390,1,1
390,7,2
390,20,1
391,12,1
392,8,3
392,16,1
393,3,1
394,10,2
394,15,1
395,2,1
396,9,3
396,13,1
397,4,1
398,6,2
398,11,1
399,1,1
400,5,3
400,8,1
400,17,2
400,30,1
400,41,3
400,52,1
400,65,2
400,76,1
400,86,3
400,97,1
401,7,1
402,12,2
403,3,1
403,14,2
404,9,1
405,2,3
405,10,1
406,6,1
407,11,2
407,19,1
408,4,1
409,8,3
409,13,1
410,1,1
411,5,2
411,15,1
411,27,2
412,10,1
413,3,3
413,7,1
414,12,1
415,2,2
415,9,1
416,6,1
417,14,3
417,18,1
418,4,1
419,8,2
419,11,1
420,1,1
421,5,3
421,16,1
422,10,1
423,3,2
423,13,1
424,7,1
425,2,3
425,12,1
426,9,1
427,6,2
427,15,1
427,33,2
428,4,1
429,11,3
429,17,1
430,1,1
431,8,2
431,10,1
432,5,1
433,3,3
433,14,1
434,12,1
435,2,2
435,7,1
436,9,1
437,6,3
437,13,1
438,4,1
439,10,2
439,18,1
440,1,1
440,8,2
440,15,1
440,22,3
440,34,1
440,48,2
440,60,1
440,73,3
440,88,1
440,96,2
441,5,1
442,11,3
442,16,1
443,3,1
444,7,2
444,12,1
445,9,1
446,2,3
446,14,1
447,6,1
448,10,2
448,17,1
448,31,2
449,4,1
450,1,3
450,8,1
451,5,1
452,13,2
452,19,1
453,3,1
454,11,3
454,15,1
455,2,1
456,7,2
456,10,1
457,9,1
458,6,3
458,12,1
459,4,1
460,8,2
460,14,1
460,25,2
461,1,1
462,5,3
462,18,1
463,10,1
464,3,2
464,16,1
465,2,1
466,7,3
466,11,1
467,9,1
468,6,2
468,13,1
469,4,1
470,12,3
470,17,1
471,1,1
472,8,2
472,10,1
473,5,1
474,3,3
474,15,1
475,2,1
476,11,2
476,14,1
476,36,2
477,7,1
478,9,3
478,18,1
479,4,1
480,1,2
480,6,1
480,12,2
480,21,1
480,33,3
480,45,1
480,56,2
480,64,1
480,77,3
480,90,1
481,10,1
482,5,3
482,13,1
483,3,1
484,8,2
484,16,1
485,2,1
486,7,3
486,19,1
487,9,1
488,4,2
488,11,1
489,1,1
490,12,3
490,15,1
491,6,1
492,10,2
492,14,1
492,28,2
493,3,1
494,5,3
494,8,1
495,2,1
496,11,2
496,17,1
497,7,1
498,9,3
498,13,1
499,4,1
500,1,2
500,10,1
500,16,2
