ProductID,ProductName,SupplierID,InStock,SellPrice,MinAmount,SupplyPrice,InventoryAmount,IsSeasonal
1,Classic Salted Potato Chips 150g,11,true,349,20,180,145,false
2,Kettle Cooked Jalapeno Chips 140g,11,true,399,15,210,88,false
3,Smoky BBQ Potato Crisps 160g,11,true,349,20,180,210,false
4,Sour Cream & Onion Rings 120g,1,true,299,25,140,65,false
5,Sea Salt & Vinegar Potato Chips 150g,11,true,349,20,180,112,false
6,Cheddar Cheese Pretzel Twists 200g,16,true,429,15,220,95,false
7,Honey Mustard Pretzel Sticks 180g,16,true,399,15,200,54,false
8,Original Salted Saltines 250g,16,true,249,30,110,310,false
9,Multi-Seed Whole Grain Crackers 175g,18,true,479,12,250,42,false
10,Garlic & Herb Breadsticks 150g,16,true,329,20,160,78,false
11,Roasted Salted Almonds 200g,2,true,699,10,390,130,false
12,Raw Organic Cashews 180g,2,true,749,10,420,85,false
13,Honey Roasted Peanuts 250g,2,true,449,25,210,240,false
14,Spicy Chili Lime Pistachios 150g,2,true,799,10,450,60,false
15,Deluxe Mixed Nuts Unsalted 200g,2,true,849,8,480,45,false
16,Dark Chocolate Almond Clusters 120g,12,true,599,12,320,72,false
17,Milk Chocolate Hazelnut Bar 100g,12,true,399,20,200,180,false
18,70% Dark Cocoa Bar 100g,12,true,429,20,210,125,false
19,White Chocolate Raspberry Bites 110g,12,false,499,15,260,0,false
20,Milk Chocolate Covered Pretzel Balls 150g,12,true,549,15,280,92,false
21,Dried Mango Slices 150g,15,true,599,15,310,115,false
22,Sweetened Dried Cranberries 200g,15,true,449,20,220,160,false
23,Organic Freeze-Dried Strawberries 50g,15,true,649,10,350,38,false
24,Chewy Dried Banana Chips 180g,15,true,329,25,150,205,false
25,Medjool Dates Pitted 250g,15,true,699,12,380,50,false
26,Nacho Cheese Tortilla Chips 200g,6,true,399,20,200,175,false
27,Salsa Verde Tortilla Chips 200g,6,true,399,20,200,82,false
28,Blue Corn Tortilla Rounds 225g,6,true,429,15,220,105,false
29,Fiery Hot Crunchy Corn Sticks 150g,6,true,299,25,130,220,false
30,White Cheddar Popcorn 120g,6,true,349,20,160,140,false
31,Movie Theater Butter Popcorn 140g,6,true,329,25,150,195,false
32,Sweet & Salty Kettle Corn 150g,6,true,349,20,160,110,false
33,Caramel Glazed Popcorn 180g,6,true,449,15,220,68,false
34,Chili Lime Rolled Tortilla Chips 140g,24,true,379,20,190,130,false
35,Sriracha Chili Rice Crackers 100g,18,true,299,25,140,185,false
36,Wasabi Green Peas 120g,18,true,319,20,150,95,false
37,Teriyaki Sesame Sticks 150g,18,true,349,20,170,118,false
38,Roasted Seaweed Snack Original 15g,9,true,199,30,85,340,false
39,Roasted Seaweed Snack Wasabi 15g,9,true,199,30,85,210,false
40,Salted Edamame Beans Crisp 90g,18,true,399,15,190,72,false
41,Gummy Bears Assorted Fruit 200g,20,true,299,25,120,280,false
42,Sour Worms Neon 180g,20,true,299,25,120,190,false
43,Peach Rings Soft Candy 170g,20,true,319,20,130,145,false
44,Licorice Twists Black 220g,20,true,279,25,110,160,false
45,Red Strawberry Licorice 220g,20,true,279,25,110,230,false
46,Cinnamon Hard Candies 150g,13,true,229,30,90,175,false
47,Peppermint Hard Candies 150g,13,true,229,30,90,310,false
48,Fruity Chewy Caramels 180g,20,true,349,20,150,88,false
49,Dark Chocolate Sea Salt Caramel Bites 130g,12,true,549,12,270,64,false
50,Milk Chocolate Peanut Butter Cups 150g,12,true,429,20,200,155,false
51,Pumpkin Spice Pretzel Thins 150g,16,false,449,15,210,0,true
52,Peppermint Bark Dark Chocolate 120g,12,false,599,10,290,0,true
53,Eggnog Flavored Cookies 180g,16,false,399,15,180,0,true
54,Summer Berry Granola Bar 160g,15,true,429,20,190,110,true
55,Spring Honey Blossom Almond Mix 150g,2,true,649,12,320,45,true
56,Autumn Apple Cinnamon Crisps 100g,15,true,479,15,220,62,true
57,Spooky Monster Fudge Pops 140g,12,false,399,20,180,0,true
58,Gingerbread Cookie Bites 160g,16,false,379,20,170,0,true
59,Cranberry Orange Trail Mix 200g,15,true,549,15,260,85,true
60,Maple Pecan Cluster Crunch 150g,2,true,699,10,340,40,true
61,Original Beef Jerky 85g,25,true,799,15,410,120,false
